product,month,inQty,qtr,timeAvailable,dayAvailable,dayShutDown,process,eqp,cost,ct,oee,pass,eqpQty,eqpTimeAvailable,prodProcess,variable,solver_qty,Remark,hourRequired,hourAvailable,eqpUtilisation,eqpRequired,eqpCapacity,TCost,reportDate
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Testing,Tester_Subcon,2.4,40.0,1.0,1.0,99.0,256608000.0,19M06Product_28Testing,19M06Product_28TestingTester_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,11664000.0,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_Subcon,7.2,60.0,1.0,1.0,99.0,256608000.0,19M06Product_28HeatStaking,19M06Product_28HeatStakingHeatStake_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,10733938.682295777,0.0,2020-06-25 16:53:37
Product_28,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,2.4,24.8,1.0,1.0,99.0,256608000.0,19M06Product_28Pressing,19M06Product_28PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_05,3.6,60.0,1.0,1.0,1.0,2592000.0,19M06Product_29HeatStaking,19M06Product_29HeatStakingHeatStake_05,0.0,First Optimal,0.0,720.0,0.0,0.0,43200.0,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Testing,Tester_05,2.6,40.0,1.0,1.0,1.0,2592000.0,19M06Product_29Testing,19M06Product_29TestingTester_05,0.0,First Optimal,0.0,720.0,0.0,0.0,64799.99999999999,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,1.2,24.8,1.0,1.0,26.0,67392000.0,19M06Product_29Pressing,19M06Product_29PressingHydraulicPress_01,0.0,First Optimal,0.0,18720.0,0.0,0.0,1284554.3505133665,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_02,2.9,59.0,1.0,1.0,7.0,18144000.0,19M06Product_29Clinching,19M06Product_29ClinchingClincher_02,0.0,First Optimal,0.0,5040.0,0.0,0.0,671640.9037551616,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Clinching,Clincher_Subcon,5.8,59.0,1.0,1.0,99.0,256608000.0,19M06Product_29Clinching,19M06Product_29ClinchingClincher_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,3960143.180051119,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Testing,Tester_Subcon,5.2,40.0,1.0,1.0,99.0,256608000.0,19M06Product_29Testing,19M06Product_29TestingTester_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,11664000.0,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_Subcon,7.2,60.0,1.0,1.0,99.0,256608000.0,19M06Product_29HeatStaking,19M06Product_29HeatStakingHeatStake_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,10733938.682295777,0.0,2020-06-25 16:53:37
Product_29,19M06,0,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_Subcon,2.4,24.8,1.0,1.0,99.0,256608000.0,19M06Product_29Pressing,19M06Product_29PressingHydraulicPress_Subcon,0.0,First Optimal,0.0,71280.0,0.0,0.0,,0.0,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_06,5.4,28.1,1.0,1.0,1.0,2592000.0,19M06Product_37HeatStaking,19M06Product_37HeatStakingHeatStake_06,0.0,First Optimal,0.0,720.0,0.0,0.0,129600.0,0.0,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,HeatStaking,HeatStake_04,5.4,23.0,1.0,1.0,1.0,2592000.0,19M06Product_37HeatStaking,19M06Product_37HeatStakingHeatStake_04,112696.0,First Optimal,720.0022222222223,720.0,1.000003086419753,1.000003086419753,112695.65217391304,608558.4,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Testing,Tester_06,2.3,22.0,1.0,1.0,1.0,2592000.0,19M06Product_37Testing,19M06Product_37TestingTester_06,26205.2,First Optimal,160.1428888888889,720.0,0.2224206790123457,0.2224206790123457,116576.0,60271.96,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Testing,Tester_04,2.3,25.0,1.0,1.0,1.0,2592000.0,19M06Product_37Testing,19M06Product_37TestingTester_04,103646.0,First Optimal,719.7638888888889,720.0,0.9996720679012346,0.9996720679012346,103673.84000950615,238385.8,2020-06-25 16:53:37
Product_37,19M06,129851,19Q2,2592000.0,30.0,0.0,Pressing,HydraulicPress_01,0.3,24.8,1.0,1.0,26.0,67392000.0,19M06Product_37Pressing,19M06Product_37PressingHydraulicPress_01,129851.0,First Optimal,894.5291111111112,18720.0,0.04778467473884141,1.2424015432098767,1284554.3505133665,38955.299999999996,2020-06-25 16:53:37
